11 JAC１５
左11→右3→中6 ×
左11→右7→中6 ×
左11→右10→中6 ×
左11→右14→中6 ×
左11→右19→中6 ×
中1→右2→左9 ×
中1→右6→左9 ×
中1→右8→左16 ×
中1→右10→左9 ×
中1→右13→左9 ×
中1→右18→左9 ×
中2→左9 ×
中3→右1→左13 ×
中3→右2→左9 ×
中3→右4→左13 ×
中3→右5→左7 ×
中3→右6→左9 ×
中3→右8→左13 ×
中3→右9→左7 ×
中3→右10→左9 ×
中3→右11→左13 ×
中3→右12→左7 ×
中3→右13→左9 ×
中3→右15→左13 ×
中3→右17→左13 ×
中3→右18→左9 ×
中3→右20→左13 ×
中3→右12 ×
中4→左15 ×
中5→左16 ×
中6→右1→左13 ×
中6→右2→左9 ×
中6→右4→左13 ×
中6→右5→左7 ×
中6→右6→左9 ×
中6→右8→左13 ×
中6→右9→左7 ×
中6→右10→左9 ×
中6→右11→左13 ×
中6→右12→左7 ×
中6→右13→左9 ×
中6→右15→左13 ×
中6→右17→左13 ×
中6→右18→左9 ×
中6→右20→左13 ×
中6→右12 ×
中7→右2→左6 ×
中7→右3→左13 ×
中7→右6→左6 ×
中7→右7→左13 ×
中7→右8→左15 ×
中7→右10→左6 ×
中7→右11→左13 ×
中7→右13→左6 ×
中7→右14→左13 ×
中7→右18→左6 ×
中7→右19→左13 ×
中8→右2→左9 ×
中8→右6→左9 ×
中8→右8→左16 ×
中8→右10→左9 ×
中8→右13→左9 ×
中8→右18→左9 ×
中9→左9 ×
中10→右1→左7 ×
中10→右2→左8 ×
中10→右3→左13 ×
中10→右4→左16 ×
中10→右6→左8 ×
中10→右7→左13 ×
中10→右8→左16 ×
中10→右9→左7 ×
中10→右10→左8 ×
中10→右13→左8 ×
中10→右14→左13 ×
中10→右15→左16 ×
中10→右17→左7 ×
中10→右18→左8 ×
中10→右19→左13 ×
中10→右20→左16 ×
中10→右1 ×
中11→右1→左13 ×
中11→右2→左9 ×
中11→右4→左13 ×
中11→右5→左7 ×
中11→右6→左9 ×
中11→右8→左13 ×
中11→右9→左7 ×
中11→右10→左9 ×
中11→右11→左13 ×
中11→右12→左7 ×
中11→右13→左9 ×
中11→右15→左13 ×
中11→右17→左13 ×
中11→右18→左9 ×
中11→右20→左13 ×
中11→右12 ×
中12→右2→左6 ×
中12→右3→左13 ×
中12→右6→左6 ×
中12→右7→左13 ×
中12→右8→左15 ×
中12→右10→左6 ×
中12→右11→左13 ×
中12→右13→左6 ×
中12→右14→左13 ×
中12→右18→左6 ×
中12→右19→左13 ×
中13→右2→左9 ×
中13→右6→左9 ×
中13→右8→左16 ×
中13→右10→左9 ×
中13→右13→左9 ×
中13→右18→左9 ×
中14→右2→左9 ×
中14→右3→左8 ×
中14→右4→左9 ×
中14→右6→左9 ×
中14→右7→左8 ×
中14→右8→左9 ×
中14→右10→左8 ×
中14→右11→左9 ×
中14→右13→左9 ×
中14→右14→左8 ×
中14→右18→左9 ×
中14→右19→左8 ×
中14→右20→左9 ×
中15→右1→左13 ×
中15→右2→左9 ×
中15→右4→左13 ×
中15→右5→左7 ×
中15→右6→左9 ×
中15→右8→左13 ×
中15→右9→左7 ×
中15→右10→左9 ×
中15→右11→左13 ×
中15→右12→左7 ×
中15→右13→左9 ×
中15→右15→左13 ×
中15→右17→左13 ×
中15→右18→左9 ×
中15→右20→左13 ×
中15→右12 ×
中16→右2→左6 ×
中16→右3→左13 ×
中16→右6→左6 ×
中16→右7→左13 ×
中16→右8→左15 ×
中16→右10→左6 ×
中16→右11→左13 ×
中16→右13→左6 ×
中16→右14→左13 ×
中16→右18→左6 ×
中16→右19→左13 ×
中17→右2→左9 ×
中17→右6→左9 ×
中17→右8→左16 ×
中17→右10→左9 ×
中17→右13→左9 ×
中17→右18→左9 ×
中19→右1→左7 ×
中19→右2→左8 ×
中19→右3→左13 ×
中19→右4→左16 ×
中19→右6→左8 ×
中19→右7→左13 ×
中19→右8→左16 ×
中19→右9→左7 ×
中19→右10→左8 ×
中19→右13→左8 ×
中19→右14→左13 ×
中19→右15→左16 ×
中19→右17→左7 ×
中19→右18→左8 ×
中19→右19→左13 ×
中19→右20→左16 ×
中19→右1 ×
中20→右1→左13 ×
中20→右2→左9 ×
中20→右4→左13 ×
中20→右5→左7 ×
中20→右6→左9 ×
中20→右8→左13 ×
中20→右9→左7 ×
中20→右10→左9 ×
中20→右11→左13 ×
中20→右12→左7 ×
中20→右13→左9 ×
中20→右15→左13 ×
中20→右17→左13 ×
中20→右18→左9 ×
中20→右20→左13 ×
中20→右12 ×
中21→左15 ×
中6で詰みました
